"Machine";"Table schema";"Query";"Compiler";"Opt. level";"Layout name";"Chunk size [tuples]";"Chunk size provided at";"Chunk sizes considered";"ConfIntLow";"ConfIntHigh";"run1";"run2";"run3";"run4";"run5";"Best solution"
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX0";"1";"Runtime";"Powers of 2";5.71535419765995;5.71687140234005;5.716275;5.71594;5.716143;5.716068;5.716138;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX1";"2";"Runtime";"Powers of 2";6.2863260245855;7.51428837541451;6.881536;6.867627;6.777024;7.047828;6.927521;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX2";"4";"Runtime";"Powers of 2";4.4001728292999;4.4029719707001;4.401632;4.401407;4.401575;4.401913;4.401335;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX3";"8";"Runtime";"Powers of 2";4.00497460135373;4.00601779864627;4.005549;4.005598;4.005418;4.005403;4.005513;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX4";"16";"Runtime";"Powers of 2";3.79656551814574;3.79874688185426;3.797654;3.797457;3.7976;3.797631;3.797939;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX5";"32";"Runtime";"Powers of 2";3.71693325732218;3.71790994267782;3.717456;3.717515;3.717449;3.717376;3.717312;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX6";"64";"Runtime";"Powers of 2";3.71602202718131;3.71814357281869;3.717346;3.717115;3.716901;3.717085;3.716967;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX7";"128";"Runtime";"Powers of 2";3.71822722332066;3.71930437667934;3.718846;3.718703;3.718861;3.718663;3.718756;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX8";"256";"Runtime";"Powers of 2";3.7174937651595;3.7185210348405;3.718049;3.717933;3.718133;3.717957;3.717965;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX9";"512";"Runtime";"Powers of 2";3.71644283040308;3.71854516959692;3.717728;3.717348;3.717518;3.717312;3.717564;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX10";"1024";"Runtime";"Powers of 2";3.71847322558427;3.72108437441573;3.719812;3.719607;3.719742;3.720121;3.719612;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX11";"2048";"Runtime";"Powers of 2";3.71508903662739;3.71942736337261;3.717397;3.717792;3.716903;3.717038;3.717161;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX12";"4096";"Runtime";"Powers of 2";3.62107311842993;3.62323968157007;3.622218;3.622065;3.622425;3.62197;3.622104;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX0";"1";"Compile time";"Powers of 2";3.39477221693773;3.39747858306227;3.396398;3.396315;3.396004;3.395896;3.396014;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX1";"2";"Compile time";"Powers of 2";3.24217632478343;3.24416687521657;3.243107;3.243002;3.24314;3.243434;3.243175;t
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX2";"4";"Compile time";"Powers of 2";3.71629203275614;3.71800076724386;3.716943;3.717167;3.717294;3.71724;3.717088;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX3";"8";"Compile time";"Powers of 2";3.53411078721789;3.55998041278211;3.550558;3.545653;3.545552;3.547307;3.546158;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX4";"16";"Compile time";"Powers of 2";3.46956189046931;3.47382330953069;3.472002;3.47205;3.471684;3.471239;3.471488;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX5";"32";"Compile time";"Powers of 2";3.43274185821082;3.43484014178918;3.433582;3.433803;3.434046;3.433719;3.433805;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX6";"64";"Compile time";"Powers of 2";3.4115392869325;3.41293751306751;3.412282;3.412079;3.412165;3.412325;3.412341;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX7";"128";"Compile time";"Powers of 2";3.4602544164824;3.4606863835176;3.460472;3.46052;3.460422;3.460465;3.460473;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX8";"256";"Compile time";"Powers of 2";3.47617889022011;3.47849350977989;3.47752;3.477179;3.477555;3.477178;3.477249;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX9";"512";"Compile time";"Powers of 2";3.44687916820085;3.47663563179915;3.461387;3.465985;3.460519;3.460435;3.460461;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX10";"1024";"Compile time";"Powers of 2";3.50066062252162;3.50235817747838;3.501641;3.501434;3.50142;3.501379;3.501673;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX11";"2048";"Compile time";"Powers of 2";3.45353303025255;3.45461656974744;3.454196;3.453997;3.454081;3.453985;3.454115;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"columnX12";"4096";"Compile time";"Powers of 2";3.41852860855316;3.41924019144684;3.418918;3.418797;3.418897;3.418946;3.418864;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"column";"n/a";"n/a";"n/a";3.38207735592057;3.38489224407943;3.383275;3.383311;3.383384;3.383683;3.383771;f
"Intel Xeon 5150 (Nehalem)";"(char a, char b)";"SELECT MIN(a+b) FROM t";"g++";"-O1";"row";"n/a";"n/a";"n/a";3.39457148459109;3.39796811540891;3.396162;3.396198;3.395997;3.396266;3.396726;f
