machineid,datasetid,queryid,compilerid,layoutid,implementationid,timeid,runtime
0,0,0,3,9999,2,2,1.178878
0,0,0,3,9999,2,2,1.176648
0,0,0,3,9999,2,2,1.176786
0,0,0,3,9999,2,2,1.178983
0,0,0,3,9999,2,2,1.176654
0,0,0,3,2,2,2,1.203937
0,0,0,3,2,2,2,1.20757
0,0,0,3,2,2,2,1.200394
0,0,0,3,2,2,2,1.203112
0,0,0,3,2,2,2,1.200666
0,0,0,3,3,2,2,1.175607
0,0,0,3,3,2,2,1.173618
0,0,0,3,3,2,2,1.173301
0,0,0,3,3,2,2,1.175761
0,0,0,3,3,2,2,1.173508
0,0,0,3,4,2,2,1.175335
0,0,0,3,4,2,2,1.172892
0,0,0,3,4,2,2,1.172861
0,0,0,3,4,2,2,1.175062
0,0,0,3,4,2,2,1.173144
0,0,0,3,5,2,2,1.177778
0,0,0,3,5,2,2,1.177629
0,0,0,3,5,2,2,1.175624
0,0,0,3,5,2,2,1.177992
0,0,0,3,5,2,2,1.175765
0,0,0,3,6,2,2,1.180382
0,0,0,3,6,2,2,1.179958
0,0,0,3,6,2,2,1.179241
0,0,0,3,6,2,2,1.181874
0,0,0,3,6,2,2,1.180754
0,0,0,3,7,2,2,1.20895
0,0,0,3,7,2,2,1.208584
0,0,0,3,7,2,2,1.208956
2,1,0,5,0,4,35,0.293847
2,1,0,5,0,4,35,0.293757
2,1,0,5,0,4,35,0.29407
2,0,0,5,1,4,35,0.895683
2,0,0,5,1,4,35,0.895647
2,0,0,5,1,4,35,0.895829
2,0,0,5,1,4,35,0.895712
2,0,0,5,1,4,35,0.895929
2,0,0,5,0,4,35,0.914716
0,0,0,3,7,2,2,1.211108
0,0,0,3,7,2,2,1.208807
0,0,0,3,8,2,2,1.203469
0,0,0,3,8,2,2,1.204108
0,0,0,3,8,2,2,1.204631
0,0,0,3,8,2,2,1.2068
0,0,0,3,8,2,2,1.204101
0,0,0,3,9,2,2,1.197498
0,0,0,3,9,2,2,1.198125
0,0,0,3,9,2,2,1.197572
0,0,0,3,9,2,2,1.200264
0,0,0,3,9,2,2,1.19845
0,0,0,3,10,2,2,1.196461
0,0,0,3,10,2,2,1.19418
0,0,0,3,10,2,2,1.194882
0,0,0,3,10,2,2,1.195888
0,0,0,3,10,2,2,1.193916
0,0,0,3,11,2,2,1.292066
0,0,0,3,11,2,2,1.288002
0,0,0,3,11,2,2,1.288042
0,0,0,3,11,2,2,1.290263
0,0,0,3,11,2,2,1.288155
0,0,0,3,12,2,2,1.248036
0,0,0,3,12,2,2,1.245666
0,0,0,3,12,2,2,1.245715
0,0,0,3,12,2,2,1.248347
0,0,0,3,12,2,2,1.245719
0,0,0,3,13,2,2,1.175531
0,0,0,3,13,2,2,1.173302
0,0,0,3,13,2,2,1.173079
0,0,0,3,13,2,2,1.17548
0,0,0,3,13,2,2,1.172974
0,0,0,3,9999,3,2,1.917863
0,0,0,3,9999,3,2,1.920086
0,0,0,3,9999,3,2,1.917653
0,0,0,3,9999,3,2,1.920098
0,0,0,3,9999,3,2,1.917762
0,0,0,3,2,3,2,1.432314
0,0,0,3,2,3,2,1.430027
0,0,0,3,2,3,2,1.430026
0,0,0,3,2,3,2,1.432294
0,0,0,3,2,3,2,1.430207
0,0,0,3,3,3,2,1.268388
0,0,0,3,3,3,2,1.268085
0,0,0,3,3,3,2,1.269995
0,0,0,3,3,3,2,1.268139
0,0,0,3,3,3,2,1.268067
0,0,0,3,4,3,2,1.232054
0,0,0,3,4,3,2,1.234559
0,0,0,3,4,3,2,1.231833
0,0,0,3,4,3,2,1.233263
0,0,0,3,4,3,2,1.232367
0,0,0,3,5,3,2,1.20132
0,0,0,3,5,3,2,1.203291
